ondemandcommon;MIT license;SLF4J API Module;org.slf4j;slf4j-api;01.06.2004;http://slf4j.org/license.html
ondemandcommon;The Apache Software License, Version 2.0;Commons Codec;commons-codec;commons-codec;01. Jun;http://commons.apache.org/codec/
ondemandcommon;The Apache Software License, Version 2.0;Commons Configuration;commons-configuration;commons-configuration;01. Aug;http://commons.apache.org/configuration/
ondemandcommon;The Apache Software License, Version 2.0;Commons Lang;commons-lang;commons-lang;02. Jun;http://commons.apache.org/lang/
ondemandcommon;The Apache Software License, Version 2.0;Commons Logging;commons-logging;commons-logging;01.01.2001;http://commons.apache.org/logging
ondemandcommon;The Apache Software License, Version 2.0;FindBugs-jsr305;com.google.code.findbugs;jsr305;2.0.0;http://findbugs.sourceforge.net/
ondemandcommon;The Apache Software License, Version 2.0;Guava: Google Core Libraries for Java;com.google.guava;guava;11.0.2;http://code.google.com/p/guava-libraries/guava
ondemandcommon;The Apache Software License, Version 2.0;archaius-core;com.netflix.archaius;archaius-core;0.5.6;https://github.com/Netflix/archaius
ondemandcommon;The Apache Software License, Version 2.0;flexjson;net.sf.flexjson;flexjson;3.0;http://flexjson.sourceforge.net/
ondemandcommon;The Apache Software License, Version 2.0;hystrix-core;com.netflix.hystrix;hystrix-core;01.02.2008;https://github.com/Netflix/hystrix
platformwebservices/web-inf;ASF 2.0 License;spring-aop;org.springframework;spring-aop;3.0.0.RC3;http://www.springsource.org/spring-framework
platformwebservices/web-inf;ASF 2.0 License;spring-asm;org.springframework;spring-asm;3.0.0.RC3;http://www.springsource.org/spring-framework
platformwebservices/web-inf;ASF 2.0 License;spring-beans;org.springframework;spring-beans;3.0.0.RC3;http://www.springsource.org/spring-framework
platformwebservices/web-inf;ASF 2.0 License;spring-context;org.springframework;spring-context;3.0.0.RC3;http://www.springsource.org/spring-framework
platformwebservices/web-inf;ASF 2.0 License;spring-core;org.springframework;spring-core;3.0.0.RC3;http://www.springsource.org/spring-framework
platformwebservices/web-inf;ASF 2.0 License;spring-expression;org.springframework;spring-expression;3.0.0.RC3;http://www.springsource.org/spring-framework
platformwebservices/web-inf;CDDL + GPLv2 with classpath exception;Java Servlet API;javax.servlet;javax.servlet-api;3.0.1;http://servlet-spec.java.net
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);JAXB API bundle for GlassFish V3;javax.xml.bind;jaxb-api;02.02.2002;https://jaxb.dev.java.net/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);JAXB RI;com.sun.xml.bind;jaxb-impl;2.2.;http://jaxb.java.net/
