org.springframework;spring-oxm;3.1.3.RELEASE;The Apache Software License, Version 2.0
org.springframework;spring-tx;3.1.3.RELEASE;The Apache Software License, Version 2.0
org.springframework;spring-web;3.1.3.RELEASE;The Apache Software License, Version 2.0
org.springframework;spring-webmvc;3.1.3.RELEASE;The Apache Software License, Version 2.0
oro;oro;2.0.8;The Apache Software License, Version 1.1
stax;stax-api;1.0.1;The Apache Software License, Version 2.0
taglibs;c;1.1.2;The Apache Software License, Version 2.0
taglibs;fmt;1.1.2;The Apache Software License, Version 2.0
taglibs;standard;1.1.2;The Apache Software License, Version 2.0
wsdl4j;wsdl4j;1.6.1;Common Public License Version 1.0
xml-apis;xml-apis;1.4.01;The Apache Software License, Version 2.0
xml-apis;xml-apis;1.4.01;The SAX License
xml-apis;xml-apis;1.4.01;The W3C License
